id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.0943372271591537e+18,2 Bedroom Condo Central Business District,472410544,Emma,,Central Business District,29.9561,-90.07342,Entire home/apt,499.0,3,0,,,6,3,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.094510546462488e+18,Fun and Colorful New Orleans CBD Condo,562788766,Brittanie,,Central Business District,29.94908,-90.07273,Entire home/apt,600.0,3,0,,,1,347,0,"23-CSTR-14875, 23-OSTR-17268"
1.094928034928014e+18,Charming 2 BR 2 BA Shotgun | By Magazine & Rouses,254302105,Jess And Matt,,West Riverside,29.9186458,-90.10428653,Entire home/apt,80.0,30,0,,,2,45,0,
1.0951010071657864e+18,Tiny Tranquility - Standard Mini at New Orleans,517569526,Selina Catahoula New Orleans,,Central Business District,29.95076104,-90.07287699,Entire home/apt,107.0,1,0,,,8,248,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0951108872895494e+18,Serenity Escape - The Twins at New Orleans,517569526,Selina Catahoula New Orleans,,Central Business District,29.95277246,-90.07210402,Entire home/apt,113.0,1,0,,,8,270,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0951124453157548e+18,Spacious Haven - Family Room at New Orleans,517569526,Selina Catahoula New Orleans,,Central Business District,29.95269,-90.07278,Entire home/apt,128.0,1,0,,,8,273,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0951136968565212e+18,Spacious Haven - Deluxe at New Orleans,517569526,Selina Catahoula New Orleans,,Central Business District,29.9513034,-90.07412706,Entire home/apt,126.0,1,0,,,8,304,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.095115211611416e+18,Luxe Urban Escape - The Suite at New Orleans,517569526,Selina Catahoula New Orleans,,Central Business District,29.95283236,-90.07225859,Entire home/apt,138.0,1,0,,,8,292,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0955954685411022e+18,"5 BEDRMs/6Beds, Off-Street Parking, Great Location",538883533,Heather,,Tulane - Gravier,29.95993639,-90.08806066,Entire home/apt,441.0,2,0,,,7,307,0,"23-CSTR-07548, 23-OSTR-19203"
1.08168607977306e+18,Great location - 2BD + 2BA | Kitchen | Pool,140852274,One,,Central Business District,29.95162019,-90.07145699,Entire home/apt,397.0,2,0,,,3,68,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.095606749439258e+18,Grand Trio,560503554,Glen,,Treme - Lafitte,29.96264,-90.06739,Private room,880.0,2,0,,,4,247,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0957222435030244e+18,The Eleanor: 5BD/4B Unit 809,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,475.0,1,0,,,41,298,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0957491661607107e+18,"The Eleanor: 4BD/4B | 3 kings, 2 queens, sofabed",544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,389.0,1,0,,,41,311,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.081808133190164e+18,Spacious Safe Extended Stay Ok,66925019,Bianka,,Tulane - Gravier,29.96199,-90.0775416,Entire home/apt,98.0,1,0,,,14,71,0,"21-CSTR-04579, 22-OSTR-10430"
1.081925093351896e+18,Beautiful NOLA Home ~ Walk to Food and Music,64823547,Brenna And Nick,,St. Claude,29.96786,-90.04133,Entire home/apt,72.0,30,5,2024-03-04,5.0,79,166,5,"20RSTR-12345, 22-OSTR-14846"
1.0819527077001316e+18,Eleanor 4BD/3B (606),544722946,My NOLA Vacation Rentals,,Central Business District,29.95280887,-90.07572191,Entire home/apt,357.0,1,0,,,41,288,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0819646141545777e+18,Marigny Rooftop View 3 BR-4 Queens,183696915,Jason,,Bywater,29.96600651,-90.04759271,Entire home/apt,120.0,1,0,,,1,192,0,"20RSTR-94002, 22-OSTR-06550"
1.0820152420650156e+18,1 Bedroom suite in the heart of the French Quarter,179860427,Sonya,,Lower Garden District,29.93409,-90.07943,Entire home/apt,156.0,3,0,,,1,4,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0960522042585009e+18,Uptown Charm: New Orleans Home,499864074,Mercedes,,Leonidas,29.95467,-90.13487,Entire home/apt,175.0,1,0,,,1,305,0,"20-ISTR-13245, 20-OSTR-13245"
1.0962448714200854e+18,French Quarter Splendor: 4BR Luxury Condo,442915263,Hosteeva California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,449.0,1,0,,,74,294,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0963993157989492e+18,Authentic New Orleans Charm By City Park,457212330,Adolfo And Navya,,City Park,29.98429081,-90.09781828,Entire home/apt,229.0,30,0,,,2,178,0,
1.0820800588359588e+18,Cozy Urban Loft in Arts District,342910048,LiivUP,,Central Business District,29.94554244,-90.06953968,Entire home/apt,202.0,1,0,,,19,283,0,"22-CSTR-17714, 22-OSTR-17719"
1.0821015668369592e+18,Cozy and Cute in NOLA!,559802732,Thomas,,Gentilly Woods,30.01411503,-90.04098288,Entire home/apt,139.0,2,0,,,1,265,0,"23-RSTR-40041, 23-OSTR-58712"
1.0964289098612882e+18,New Orleans Duplex: 2 Mi to Bourbon Street!,456477857,Evolve,,St. Claude,29.9679942,-90.0321914,Entire home/apt,86.0,30,0,,,39,358,0,
1.0964463801014045e+18,Saint house.,563267985,Suchitra,,Seventh Ward,29.96796,-90.06275,Entire home/apt,155.0,3,1,2024-02-26,1.0,1,240,1,"20-RSTR-02320, 23-OSTR-03849"
1.0964903391721436e+18,Opulent Art Deco Villa w Pool & Hot Tub 6bd|6.5ba,232296790,Michael And Marcia,,Central City,29.94319472,-90.07589865,Entire home/apt,763.0,2,0,,,17,244,0,"23-CSTR-01157, 22-OSTR-18234"
1.096968141630558e+18,Sage Retreat NOLA,356939658,Andrea,,Holy Cross,29.95411775,-90.01448205,Entire home/apt,110.0,30,0,,,1,251,0,
1.0971062069485135e+18,Beautiful house off Frenchman St,7423684,Anne,,Seventh Ward,29.97085607,-90.05863411,Private room,96.0,3,0,,,3,84,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0971863382759345e+18,Centrally located New Orleans 2 bd lockoff suite,84563075,Don,,Central Business District,29.94964262,-90.06726701,Entire home/apt,999.0,4,0,,,2,4,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0826397382614308e+18,Maison de Lumière,58755845,Alex,,Touro,29.92547104,-90.09541626,Entire home/apt,1200.0,3,0,,,2,102,0,"23-NSTR-17368, 23-OSTR-12789"
1.0826511133568975e+18,Quiet Backyard Guesthouse,106910475,Vikki,,Fillmore,30.01041249,-90.07368921,Entire home/apt,61.0,30,0,,,1,56,0,
1.097222571265692e+18,"Convenient Central City Home, Near Superdome",568892,Nessira,,Central City,29.93638804,-90.09089244,Entire home/apt,100.0,1,3,2024-03-08,3.0,1,336,3,"24-ISTR-17586, 24-OSTR-19452"
